C_Sharp
Jonas  Jonaitis,
Petras  Petraitis,
Kazys  Kazaitis,
Giedrius  Giedraitis,
Monika  Monikaitė,
Silvija  Silvijaitė,
Kęstutis  Kęstutaitis,
Paulius  Paulaitis,
Kristupas  Kristupaitis,
Matas  Mataitis,

Java
Kipras  Kipraitis,
Elizė  Elizaitė,
Lukas  Lukaitis,
Rokas  Rokaitis,
Linas  Linaitis,
Vaiva  Vaivaitė,
Gabrielė  Gabrielaitė,
Žirnis  Žirnaitis,
Adomas  Adomaitis,
Emilija  Emilaitė,
Rokas Žeruolis,

Python
Juozas  Juozaitis,
Eimutis  Eimaitis,
Rytis  Rytaitis,
Liucija  Liucaitė,
Milda  Mildytė,
Jekaterina  Jekaterytė,
Gabija  Gabaitė,
Debora  Debaitė,
Darius  Darėnas,
Deividas  Deivaidis,

Fizika
Rokas Žeruolis,

C_Sharp
Jonas  Jonaitis,
Petras  Petraitis,
Kazys  Kazaitis,
Giedrius  Giedraitis,
Monika  Monikaitė,
Silvija  Silvijaitė,
Kęstutis  Kęstutaitis,
Paulius  Paulaitis,
Kristupas  Kristupaitis,
Matas  Mataitis,
Rokas Žeruolis,
Rokas Žer,

Java
Kipras  Kipraitis,
Elizė  Elizaitė,
Lukas  Lukaitis,
Rokas  Rokaitis,
Linas  Linaitis,
Vaiva  Vaivaitė,
Gabrielė  Gabrielaitė,
Žirnis  Žirnaitis,
Adomas  Adomaitis,
Emilija  Emilaitė,

Python
Juozas  Juozaitis,
Eimutis  Eimaitis,
Rytis  Rytaitis,
Liucija  Liucaitė,
Milda  Mildytė,
Jekaterina  Jekaterytė,
Gabija  Gabaitė,
Debora  Debaitė,
Darius  Darėnas,
Deividas  Deivaidis,

Fizika
Rokas Žer,
Rokas asdas,

C_Sharp
Jonas  Jonaitis,
Petras  Petraitis,
Kazys  Kazaitis,
Giedrius  Giedraitis,
Monika  Monikaitė,
Silvija  Silvijaitė,
Kęstutis  Kęstutaitis,
Paulius  Paulaitis,
Kristupas  Kristupaitis,
Matas  Mataitis,

Java
Kipras  Kipraitis,
Elizė  Elizaitė,
Lukas  Lukaitis,
Rokas  Rokaitis,
Linas  Linaitis,
Vaiva  Vaivaitė,
Gabrielė  Gabrielaitė,
Žirnis  Žirnaitis,
Adomas  Adomaitis,
Emilija  Emilaitė,

Python
Juozas  Juozaitis,
Eimutis  Eimaitis,
Rytis  Rytaitis,
Liucija  Liucaitė,
Milda  Mildytė,
Jekaterina  Jekaterytė,
Gabija  Gabaitė,
Debora  Debaitė,
Darius  Darėnas,
Deividas  Deivaidis,

C_Sharp
Jonas  Jonaitis,
Petras  Petraitis,
Kazys  Kazaitis,
Giedrius  Giedraitis,
Monika  Monikaitė,
Silvija  Silvijaitė,
Kęstutis  Kęstutaitis,
Paulius  Paulaitis,
Kristupas  Kristupaitis,
Matas  Mataitis,

Java
Kipras  Kipraitis,
Elizė  Elizaitė,
Lukas  Lukaitis,
Rokas  Rokaitis,
Linas  Linaitis,
Vaiva  Vaivaitė,
Gabrielė  Gabrielaitė,
Žirnis  Žirnaitis,
Adomas  Adomaitis,
Emilija  Emilaitė,

Python
Juozas  Juozaitis,
Eimutis  Eimaitis,
